,HHO_DE_Chaos/0.1,HHO_DE_Chaos/0.2,HHO_DE_Chaos/0.3,HHO_DE_Chaos/0.4,HHO_DE_Chaos/0.5,HHO_DE_Chaos/0.6,HHO_DE_Chaos/0.7,HHO_DE_Chaos/0.8,HHO_DE_Chaos/0.9,HHO_DE_Chaos/1
0,692472774.4910308,239992744.31285015,888244290.2665253,826025281.2605202,368505914.393229,548663769.7909523,744494881.345321,922772568.8004508,825805242.1084995,435720876.1223282
1,421070518.125073,866031761.7025862,236236704.92295405,284972625.47966754,693178958.0843345,156954797.59331527,592715281.3149742,206811518.62492096,139175951.29498872,756184713.0187716
2,133087697.12220517,264676910.51720923,153881370.56273386,131237070.61950505,94461350.48030135,116418752.4682492,127942655.94967958,148684723.096258,75854332.79954833,247474886.80650824
3,363953128.0979295,1056767886.5500464,1032086052.6777861,944543860.0215747,463512207.68893766,927766031.5776702,809316932.9422133,510388160.77317774,1025368786.5422302,843595158.5075815
4,119552425.40328051,168391297.64792192,161280521.73520494,99011086.47749753,97775161.39019446,130803549.34447694,135269510.1336635,91818482.18373655,65433223.09735963,319082232.62885743
