,0,1
0,2.9413542394932144e-49,0.0
1,2.6929489055447125e-48,0.0
2,1.4884553199193378e-48,0.0
3,2.9127872777407888e-49,0.0
4,2.15325589787756e-50,0.0
5,5.971599108429088e-47,0.0
6,3.1185081407107633e-49,0.0
7,5.378657179746159e-51,0.0
8,6.408782895961286e-50,0.0
9,8.948919786848952e-50,0.0
10,5.713720082611353e-52,0.0
11,2.9424331812096456e-48,0.0
12,1.2628139270064177e-54,0.0
13,8.821857952949847e-53,0.0
14,2.629219595091493e-51,0.0
15,5.998144653165031e-51,0.0
16,3.1229119120416846e-51,0.0
17,1.6333911103918411e-53,0.0
18,1.989751774154142e-50,0.0
19,3.433261318771115e-48,0.0
20,2.741152444802247e-47,0.0
21,1.8232823590605643e-49,0.0
22,7.216818912758966e-50,0.0
23,4.064682613469507e-50,0.0
24,4.113752927158165e-52,0.0
