,0,1,2
0,3.3706879621225983e-99,0.0,0.0
1,5.141577769129886e-102,0.0,0.0
2,1.1050178913510455e-96,0.0,0.0
3,1.722777716841692e-99,0.0,0.0
4,8.680944226691786e-96,0.0,0.0
5,6.979356203174588e-105,0.0,0.0
6,4.406833049191152e-101,0.0,0.0
7,5.161090019939336e-100,0.0,0.0
8,1.320665722378098e-98,0.0,0.0
9,2.361101045791773e-99,0.0,0.0
10,2.4135361393416165e-99,0.0,0.0
11,6.640632139934926e-99,0.0,0.0
12,2.630966094976724e-100,0.0,0.0
13,2.361296688405196e-104,0.0,0.0
14,1.8657324588518382e-97,0.0,0.0
15,1.6812990797818127e-105,0.0,0.0
16,1.108050969533731e-98,0.0,0.0
17,1.2247477078706487e-102,0.0,0.0
18,5.522716333232471e-105,0.0,0.0
19,4.62805284039293e-96,0.0,0.0
20,2.6080171588574304e-98,0.0,0.0
21,1.2922922471553634e-96,0.0,0.0
22,9.65775240110872e-100,0.0,0.0
23,3.1614479275915343e-100,0.0,0.0
24,4.404741647976567e-104,0.0,0.0
25,4.0011930899110814e-100,0.0,0.0
26,1.1033405489420136e-101,0.0,0.0
27,2.690154546724441e-101,0.0,0.0
28,1.792130968373088e-100,0.0,0.0
29,9.276428220112564e-101,0.0,0.0
