,GA,HHO,HHO_SMA,HHO_SMA_Chaos,HHO_SMA_DE,OriginalSMA,HHO_DE_Chaos,Random
0,66067425.00503781,433777309.6148764,867703110.3541834,795001968.6516845,1259391942.695203,55023382.2243759,350284292.67650944,836539129.3384701
1,384865934.0355036,130749775.97271422,350975432.65458834,309917370.67458546,332980021.0632047,-0.015927551625833505,287508767.81738675,1024981456.793798
2,862017482.5197214,137486336.2984726,219087949.57556736,296383257.2388313,136041687.5674585,-23582772.931572042,118530619.92252494,154325916.3781844
3,811569368.871713,448566515.2284305,892866109.8485414,1105014732.517361,729348528.2460808,-2580161.6423237124,1330459742.59134,1359844374.2523458
4,264769621.56946477,98505512.77000552,193310983.81305254,155784301.11147034,227347499.0275839,,135234147.99664876,625863843.4352484
