,0,1
0,4.359734110263972e-180,0.0
1,2.26285324185187e-182,0.0
2,5.435440184286226e-176,0.0
3,1.0107117781766675e-177,0.0
4,8.519730508400349e-166,0.0
5,3.889056965770212e-184,0.0
6,3.1400465361401385e-180,0.0
7,1.129150750584034e-177,0.0
8,2.9695304456275234e-181,0.0
9,1.0392469890177442e-172,0.0
10,1.4763178756560445e-181,0.0
11,6.3117752271174495e-177,0.0
12,1.1929037156049631e-180,0.0
13,2.1960342546684803e-186,0.0
14,4.959959517519482e-178,0.0
15,8.86592371354288e-179,0.0
16,5.865737575878275e-179,0.0
17,2.7584121531090673e-186,0.0
18,6.577850748961625e-189,0.0
19,2.3488582013495046e-174,0.0
20,5.479855008094223e-173,0.0
21,5.983583784137629e-178,0.0
22,2.344498593234695e-175,0.0
23,1.4011795420748449e-186,0.0
24,2.853473390549018e-192,0.0
25,2.120101121730552e-173,0.0
26,5.201860036047728e-183,0.0
27,1.9732866587052075e-180,0.0
28,2.1294581171146566e-172,0.0
29,1.0269548113784849e-181,0.0
