,GA,SMA,HHO_DE,HHO,HHO_chaos,HHO_SMA
0,68876656.37828155,0.0,1396924358.2477565,372437262.006549,1311585686.7430756,664954924.4546587
1,390237941.41523427,0.0,535815289.86342406,346239319.16717666,129499996.43073615,0.0
2,819143552.1146252,0.0,0.0,0.0,0.0,0.0
3,819887013.7682384,0.0,0.0,1284909732.46299,1092949059.3445058,2527611843.9635234
4,284022534.71353257,0.0,184505710.4817584,7300327.892984295,242075473.08995908,0.0
